sectionCandidateId,fromStationCode,toStationCode,fromStationName,toStationName,routeName,division,zone,sequence,direction,distance,distanceStatus,sourceId,dataVersionId,verificationStatus,authorityLevel
SEC-PRGL-VDR-71e967,PRGL,VDR,Perungalathur,Vandalur,South Line (MS-VM),CHENNAI,SR,17,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-VDR-UPM-bc8532,VDR,UPM,Vandalur,Urappakkam,South Line (MS-VM),CHENNAI,SR,18,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-UPM-GI-df01bd,UPM,GI,Urappakkam,Guduvancheri,South Line (MS-VM),CHENNAI,SR,19,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-GI-POTI-886a2e,GI,POTI,Guduvancheri,Potheri,South Line (MS-VM),CHENNAI,SR,20,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-POTI-CTM-d821ff,POTI,CTM,Potheri,Katangulattur,South Line (MS-VM),CHENNAI,SR,21,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-CTM-MMNK-b80759,CTM,MMNK,Katangulattur,Maraimalai Nagar Kamarajar,South Line (MS-VM),CHENNAI,SR,22,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-MMNK-SKL-708a61,MMNK,SKL,Maraimalai Nagar Kamarajar,Singaperumal Koil,South Line (MS-VM),CHENNAI,SR,23,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-SKL-PWU-11685c,SKL,PWU,Singaperumal Koil,Paranur,South Line (MS-VM),CHENNAI,SR,24,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PWU-CGL-df4c6e,PWU,CGL,Paranur,Chengalpattu Junction,South Line (MS-VM),CHENNAI,SR,25,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-CGL-TRM-c81725,CGL,TRM,Chengalpattu Junction,Tirumani,South Line (MS-VM),CHENNAI,SR,26,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
