route_line,from_station,to_station,sequence
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),BRAM,NYY,4
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),NYY,AMVA,5
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),AMVA,DAVM,6
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),DAVM,PASA,7
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),PASA,KZTW,8
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),KZTW,KZT,9
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),KZT,PYD,10
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),PYD,ERL,11
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),ERL,VRLR,12
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),VRLR,NJT,13
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),NJT,NCJ,14
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),NCJ,SUCH,15
Thiruvananthapuram (TVC) - Kanyakumari (CAPE),SUCH,CAPE,16
Tirunelveli (TEN) - Nagercoil (NCJ),TEN,MP,2
Tirunelveli (TEN) - Nagercoil (NCJ),MP,SGLM,3
Tirunelveli (TEN) - Nagercoil (NCJ),SGLM,NNN,4
Tirunelveli (TEN) - Nagercoil (NCJ),NNN,DYS,5
Tirunelveli (TEN) - Nagercoil (NCJ),DYS,VLY,6
Tirunelveli (TEN) - Nagercoil (NCJ),VLY,NPK,7
Tirunelveli (TEN) - Nagercoil (NCJ),NPK,KVLK,8
Tirunelveli (TEN) - Nagercoil (NCJ),KVLK,AAY,9
Tirunelveli (TEN) - Nagercoil (NCJ),AAY,THX,10
Tirunelveli (TEN) - Nagercoil (NCJ),THX,NCJ,11
Kollam-Sengottai,QLN,KLQ,2
Kollam-Sengottai,KLQ,CTPE,3
Kollam-Sengottai,CTPE,KFV,4
Kollam-Sengottai,KFV,KUV,5
Kollam-Sengottai,KUV,EKN,6
Kollam-Sengottai,EKN,KKZ,7
Kollam-Sengottai,KKZ,KIF,8
Kollam-Sengottai,KIF,AVS,9
Kollam-Sengottai,AVS,PUU,10
Kollam-Sengottai,PUU,EDN,11
Kollam-Sengottai,EDN,OKL,12
Kollam-Sengottai,OKL,TML,13
Kollam-Sengottai,TML,KRA,14
Kollam-Sengottai,KRA,AYV,15
Kollam-Sengottai,AYV,BJM,16
Kollam-Sengottai,BJM,SCT,17
Dindigul-Madurai-Tirunelveli,DG,ABI,2
Dindigul-Madurai-Tirunelveli,ABI,KQN,3
Dindigul-Madurai-Tirunelveli,KQN,VDP,4
Dindigul-Madurai-Tirunelveli,VDP,SDN,5
Dindigul-Madurai-Tirunelveli,SDN,SER,6
Dindigul-Madurai-Tirunelveli,SER,KON,7
Dindigul-Madurai-Tirunelveli,KON,MDU,8
Dindigul-Madurai-Tirunelveli,MDU,TDN,9
Dindigul-Madurai-Tirunelveli,TDN,TMQ,10
Dindigul-Madurai-Tirunelveli,TMQ,KGD,11
Dindigul-Madurai-Tirunelveli,KGD,VPT,12
Dindigul-Madurai-Tirunelveli,VPT,TY,13
Dindigul-Madurai-Tirunelveli,TY,SRT,14
Dindigul-Madurai-Tirunelveli,SRT,NLL,15
Dindigul-Madurai-Tirunelveli,NLL,CVP,16
Dindigul-Madurai-Tirunelveli,CVP,KDU,17
Dindigul-Madurai-Tirunelveli,KDU,IVL,18
Dindigul-Madurai-Tirunelveli,IVL,MEJ,19
Dindigul-Madurai-Tirunelveli,MEJ,NRK,20
Dindigul-Madurai-Tirunelveli,NRK,GDN,21
Dindigul-Madurai-Tirunelveli,GDN,TAY,22
Dindigul-Madurai-Tirunelveli,TAY,TEN,23
Madurai-Rameswaram,MDU,MES,2
Madurai-Rameswaram,MES,ILA,3
Madurai-Rameswaram,ILA,TVN,4
Madurai-Rameswaram,TVN,TPC,5
Madurai-Rameswaram,TPC,RAGM,6
Madurai-Rameswaram,RAGM,MNM,7
Madurai-Rameswaram,MNM,SUX,8
Madurai-Rameswaram,SUX,PMK,9
Madurai-Rameswaram,PMK,SQD,10
Madurai-Rameswaram,SQD,RMD,11
Madurai-Rameswaram,RMD,VTV,12
Madurai-Rameswaram,VTV,UCP,13
Madurai-Rameswaram,UCP,MC,14
Madurai-Rameswaram,MC,MMM,15
Madurai-Rameswaram,MMM,PBM,16
Madurai-Rameswaram,PBM,RMM,17
Virudhunagar-Sengottai,VPT,TTL,2
Virudhunagar-Sengottai,TTL,SVKS,3
Virudhunagar-Sengottai,SVKS,SVPR,4
Virudhunagar-Sengottai,SVPR,RJPM,5
Virudhunagar-Sengottai,RJPM,CPM,6
Virudhunagar-Sengottai,CPM,SNKL,7
Virudhunagar-Sengottai,SNKL,PBKS,8
Virudhunagar-Sengottai,PBKS,KDNL,9
Virudhunagar-Sengottai,KDNL,TSI,10
Virudhunagar-Sengottai,TSI,SCT,11
Tirunelveli to Sengottai,TEN,TYT,2
Tirunelveli to Sengottai,TYT,PEA,3
Tirunelveli to Sengottai,PEA,SMD,4
