division,route_line,sequence,station_code,station_name,distance_km_from_origin
PALAKKAD,Shoranur-Mangalore,27,MAHE,Mahe,
PALAKKAD,Shoranur-Mangalore,28,JGE,Jagannath Temple Gate,
PALAKKAD,Shoranur-Mangalore,29,TLY,Thalassery,
PALAKKAD,Shoranur-Mangalore,30,DMD,Dharmadam,
PALAKKAD,Shoranur-Mangalore,31,ETK,Etakkot,
PALAKKAD,Shoranur-Mangalore,32,CS,Kannur South,
PALAKKAD,Shoranur-Mangalore,33,CAN,Kannur,
PALAKKAD,Shoranur-Mangalore,34,VAPM,Valapattanam,
PALAKKAD,Shoranur-Mangalore,35,PPNS,Pappinisseri,
PALAKKAD,Shoranur-Mangalore,36,KPQ,Kannapuram,
PALAKKAD,Shoranur-Mangalore,37,PAZ,Payangadi,
PALAKKAD,Shoranur-Mangalore,38,ELM,Ezhimala,
PALAKKAD,Shoranur-Mangalore,39,PAY,Payyanur,
PALAKKAD,Shoranur-Mangalore,40,TKQ,Trikarpur,
PALAKKAD,Shoranur-Mangalore,41,CHV,Charvattur,
PALAKKAD,Shoranur-Mangalore,42,NLE,Nileshwar,
PALAKKAD,Shoranur-Mangalore,43,KZE,Kanhangad,
PALAKKAD,Shoranur-Mangalore,44,BFR,Bekal Fort,
PALAKKAD,Shoranur-Mangalore,45,KQK,Kotikulam,
PALAKKAD,Shoranur-Mangalore,46,KLAD,Kalanad,
PALAKKAD,Shoranur-Mangalore,47,KGQ,Kasaragod,
PALAKKAD,Shoranur-Mangalore,48,KMQ,Kumbala,
PALAKKAD,Shoranur-Mangalore,49,UAA,Uppala,
PALAKKAD,Shoranur-Mangalore,50,MJS,Manjeshwar,
PALAKKAD,Shoranur-Mangalore,51,ULL,Ullal,
PALAKKAD,Shoranur-Mangalore,52,MAQ,Mangalore Central,
PALAKKAD,Shoranur-Mangalore,53,MAJN,Mangalore Junction,
PALAKKAD,Shoranur-Mangalore,54,PNMB,Panambur,
PALAKKAD,Shoranur-Mangalore,55,TOK,Thokur,
PALAKKAD,Shoranur-Mangalore,56,JOKT,Jokatte,
PALAKKAD,Palakkad-Pollachi,1,PGT,Palakkad Junction,
